student_id,study_time_hours_per_week,exam_score
1,10.33,57
2,21.52,92
3,11.67,57
4,6.72,55
5,14.63,78
6,16.68,76
7,21.12,78
8,21.57,90
9,11.84,73
10,14.65,69
11,11.47,62
12,13.35,55
13,10.69,55
14,9.98,61
15,19.24,77
16,8.35,56
17,17.13,79
18,22.06,82
19,3.96,37
20,5.39,46
21,4.82,43
22,9.85,72
23,3.73,57
24,11.33,73
25,23.05,100
26,10.58,42
27,4.58,51
28,2.38,42
29,9.58,57
30,10.11,50
31,12.69,75
32,13.51,67
33,16.97,84
34,12.91,57
35,11.04,68
36,16.18,79
37,13.16,60
38,7.57,56
39,7.27,53
40,14.83,79
41,9.2,46
42,17.39,80
43,6.21,57
44,8.06,52
45,13.82,72
46,3.75,41
47,13.2,56
48,16.51,90
49,4.65,51
50,12.17,61
51,14.36,80
52,19.99,87
53,15.02,80
54,16.29,67
55,11.81,72
56,5.75,55
57,9.17,59
58,8.97,68
59,1.76,43
60,11.32,69
61,2.95,44
62,9.1,56
63,12.54,63
64,11.36,55
65,16.36,70
66,5.4,45
67,16.55,76
68,10.56,64
69,12.57,74
70,10.24,67
71,15.81,76
72,16.58,66
73,7.56,49
74,4.29,45
75,11.62,66
76,7.4,56
77,6.75,57
78,11.04,38
79,9.93,55
80,12.29,63
81,14.62,71
82,2.49,49
83,7.67,44
84,4.02,52
85,9.79,62
86,14.14,67
87,5.36,56
88,9.69,56
89,7.37,52
90,19.43,75
91,16.23,74
92,10.89,70
93,5.96,52
94,21.62,83
95,5.98,48
96,11.83,56
97,7.5,46
98,5.94,52
99,21.99,93
100,19.7,98
101,10.49,61
102,18.81,75
103,21.2,89
104,12.64,60
105,8.38,54
106,2.97,33
107,14.9,70
108,8.75,57
109,4.09,43
110,11.63,70
111,18.98,91
112,14.39,80
113,9.24,52
114,3.41,48
115,10.7,60
116,16.48,69
117,9.54,59
118,4.12,44
119,4.76,42
120,11.56,82
121,9.93,64
122,10.12,56
123,20.09,82
124,11.77,60
125,16.24,66
126,5.72,51
127,14.63,75
128,17.42,70
129,16.37,84
130,5.0,33
131,20.1,96
132,6.14,63
133,24.41,88
134,14.75,68
135,6.4,45
136,13.81,63
137,5.38,36
138,13.07,64
139,8.2,47
140,7.34,59
141,16.36,94
142,10.09,46
143,15.37,78
144,14.25,76
145,18.56,77
146,14.52,72
147,19.42,73
148,13.9,69
149,18.91,84
